Time	 Label
60	N
120	N
180	N
240	N
300	N
360	N
420	N
480	N
540	N
600	N
660	N
720	N
780	N
840	N
900	N
960	N
1020	N
1080	N
1140	N
1200	N
1260	N
1320	N
1380	N
1440	N
1500	N
1560	N
1620	N
1680	N
1740	N
1800	N
1860	N
1920	N
1980	N
2040	N
2100	A
2160	A
2220	A
2280	A
2340	A
2400	A
2460	A
2520	A
2580	A
2640	A
2700	A
2760	A
2820	A
2880	A
2940	A
3000	A
3060	A
3120	A
3180	A
3240	A
3300	A
3360	A
3420	A
3480	A
3540	A
3600	A
3660	A
3720	A
3780	A
3840	A
3900	A
3960	A
4020	A
4080	A
4140	A
4200	A
4260	A
4320	A
4380	A
4440	A
4500	A
4560	A
4620	A
4680	A
4740	A
4800	A
4860	A
4920	A
4980	A
5040	A
5100	A
5160	A
5220	A
5280	A
5340	A
5400	A
5460	A
5520	A
5580	A
5640	A
5700	A
5760	A
5820	A
5880	A
5940	A
6000	A
6060	A
6120	A
6180	A
6240	A
6300	A
6360	A
6420	A
6480	A
6540	A
6600	A
6660	A
6720	A
6780	A
6840	A
6900	A
6960	A
7020	A
7080	A
7140	A
7200	A
7260	A
7320	A
7380	A
7440	A
7500	A
7560	A
7620	A
7680	A
7740	A
7800	A
7860	A
7920	A
7980	A
8040	A
8100	A
8160	A
8220	A
8280	A
8340	A
8400	A
8460	A
8520	A
8580	A
8640	A
8700	A
8760	A
8820	A
8880	A
8940	A
9000	A
9060	A
9120	A
9180	A
9240	A
9300	A
9360	A
9420	A
9480	A
9540	A
9600	A
9660	A
9720	A
9780	A
9840	A
9900	A
9960	A
10020	A
10080	A
10140	A
10200	A
10260	A
10320	A
10380	A
10440	A
10500	N
10560	N
10620	A
10680	A
10740	A
10800	A
10860	A
10920	A
10980	A
11040	A
11100	A
11160	A
11220	A
11280	A
11340	A
11400	A
11460	A
11520	A
11580	A
11640	A
11700	A
11760	A
11820	A
11880	A
11940	A
12000	A
12060	A
12120	A
12180	A
12240	A
12300	A
12360	A
12420	A
12480	A
12540	A
12600	A
12660	A
12720	A
12780	A
12840	A
12900	A
12960	A
13020	A
13080	A
13140	A
13200	A
13260	A
13320	A
13380	A
13440	A
13500	A
13560	A
13620	A
13680	A
13740	A
13800	A
13860	A
13920	A
13980	A
14040	A
14100	A
14160	A
14220	A
14280	A
14340	A
14400	A
14460	A
14520	A
14580	A
14640	A
14700	A
14760	A
14820	A
14880	A
14940	A
15000	A
15060	A
15120	A
15180	A
15240	A
15300	A
15360	A
15420	A
15480	A
15540	A
15600	A
15660	A
15720	A
15780	A
15840	A
15900	A
15960	A
16020	A
16080	A
16140	A
16200	A
16260	A
16320	A
16380	A
16440	A
16500	A
16560	A
16620	A
16680	A
16740	A
16800	A
16860	A
16920	A
16980	A
17040	A
17100	A
17160	A
17220	A
17280	A
17340	A
17400	A
17460	A
17520	A
17580	A
17640	A
17700	A
17760	A
17820	A
17880	A
17940	A
18000	A
18060	A
18120	A
18180	A
18240	A
18300	A
18360	A
18420	A
18480	A
18540	A
18600	A
18660	A
18720	A
18780	A
18840	A
18900	A
18960	A
19020	A
19080	A
19140	A
19200	A
19260	A
19320	A
19380	A
19440	A
19500	A
19560	A
19620	A
19680	A
19740	A
19800	A
19860	A
19920	A
19980	A
20040	A
20100	A
20160	A
20220	A
20280	A
20340	A
20400	A
20460	A
20520	A
20580	A
20640	A
20700	A
20760	A
20820	A
20880	A
20940	A
21000	A
21060	A
21120	A
21180	A
21240	A
21300	A
21360	A
21420	A
21480	A
21540	A
21600	A
21660	A
21720	A
21780	A
21840	A
21900	A
21960	A
22020	A
22080	A
22140	A
22200	A
22260	A
22320	A
22380	A
22440	A
22500	A
22560	A
22620	A
22680	A
22740	A
22800	A
22860	A
22920	A
22980	A
23040	A
23100	A
23160	A
23220	A
23280	A
23340	A
23400	A
23460	A
23520	A
23580	A
23640	A
23700	A
23760	A
23820	A
23880	A
23940	A
24000	A
24060	A
24120	A
24180	A
24240	A
24300	A
24360	A
24420	A
24480	A
24540	A
24600	A
24660	A
24720	A
24780	A
24840	A
24900	A
24960	A
25020	A
25080	A
25140	A
25200	A
25260	A
25320	A
25380	A
25440	A
25500	A
25560	A
25620	A
25680	A
25740	A
25800	A
25860	A
25920	A
25980	A
26040	A
26100	A
26160	A
26220	A
26280	A
26340	A
26400	A
26460	A
26520	A
26580	A
26640	A
26700	A
26760	A
26820	A
26880	A
26940	A
27000	A
27060	A
27120	A
27180	A
27240	A
27300	A
27360	A
27420	A
27480	A
27540	A
27600	A
27660	A
27720	N
27780	N
27840	A
27900	A
27960	A
28020	A
28080	A
28140	A
28200	A
28260	A
28320	A
28380	A
28440	A
28500	A
28560	A
28620	A
28680	A
28740	A
28800	A
28860	A
28920	A
28980	A
29040	A
29100	A
29160	A
29220	A
29280	A
29340	A
29400	A
29460	A
