Time	 Label
60	N
120	N
180	N
240	N
300	N
360	N
420	N
480	N
540	N
600	N
660	N
720	N
780	N
840	N
900	N
960	N
1020	N
1080	N
1140	N
1200	N
1260	A
1320	A
1380	A
1440	A
1500	A
1560	A
1620	A
1680	A
1740	A
1800	A
1860	A
1920	A
1980	A
2040	A
2100	A
2160	A
2220	A
2280	A
2340	A
2400	A
2460	A
2520	A
2580	A
2640	A
2700	A
2760	A
2820	A
2880	A
2940	A
3000	A
3060	A
3120	A
3180	A
3240	A
3300	A
3360	A
3420	A
3480	A
3540	A
3600	A
3660	A
3720	A
3780	A
3840	A
3900	A
3960	A
4020	A
4080	A
4140	A
4200	A
4260	A
4320	A
4380	A
4440	A
4500	A
4560	A
4620	A
4680	A
4740	A
4800	A
4860	A
4920	A
4980	A
5040	A
5100	A
5160	A
5220	A
5280	A
5340	A
5400	A
5460	A
5520	A
5580	A
5640	A
5700	A
5760	A
5820	A
5880	A
5940	A
6000	A
6060	A
6120	A
6180	A
6240	A
6300	A
6360	A
6420	A
6480	A
6540	A
6600	A
6660	A
6720	A
6780	A
6840	A
6900	A
6960	A
7020	A
7080	A
7140	A
7200	A
7260	A
7320	A
7380	A
7440	A
7500	A
7560	A
7620	A
7680	A
7740	A
7800	N
7860	N
7920	N
7980	N
8040	N
8100	N
8160	N
8220	N
8280	N
8340	N
8400	N
8460	N
8520	N
8580	N
8640	N
8700	N
8760	N
8820	N
8880	N
8940	N
9000	N
9060	N
9120	N
9180	N
9240	N
9300	N
9360	N
9420	N
9480	N
9540	N
9600	N
9660	N
9720	N
9780	N
9840	N
9900	N
9960	N
10020	N
10080	N
10140	N
10200	N
10260	N
10320	N
10380	N
10440	N
10500	N
10560	A
10620	A
10680	A
10740	A
10800	A
10860	A
10920	A
10980	A
11040	A
11100	A
11160	A
11220	A
11280	A
11340	A
11400	A
11460	A
11520	A
11580	A
11640	A
11700	A
11760	A
11820	A
11880	A
11940	A
12000	A
12060	N
12120	N
12180	N
12240	N
12300	N
12360	N
12420	A
12480	A
12540	A
12600	A
12660	A
12720	A
12780	A
12840	A
12900	A
12960	A
13020	A
13080	A
13140	A
13200	A
13260	A
13320	A
13380	A
13440	A
13500	A
13560	A
13620	A
13680	A
13740	A
13800	A
13860	A
13920	A
13980	A
14040	A
14100	A
14160	A
14220	A
14280	A
14340	A
14400	A
14460	A
14520	A
14580	A
14640	A
14700	A
14760	A
14820	A
14880	A
14940	A
15000	A
15060	A
15120	A
15180	A
15240	A
15300	A
15360	A
15420	A
15480	A
15540	A
15600	A
15660	A
15720	A
15780	A
15840	A
15900	A
15960	N
16020	N
16080	N
16140	N
16200	A
16260	A
16320	A
16380	A
16440	A
16500	A
16560	A
16620	A
16680	A
16740	A
16800	A
16860	A
16920	N
16980	N
17040	N
17100	N
17160	N
17220	N
17280	A
17340	A
17400	A
17460	A
17520	A
17580	A
17640	A
17700	N
17760	N
17820	A
17880	A
17940	A
18000	A
18060	A
18120	A
18180	A
18240	A
18300	A
18360	A
18420	A
18480	N
18540	N
18600	N
18660	N
18720	A
18780	A
18840	A
18900	A
18960	A
19020	A
19080	A
19140	A
19200	A
19260	A
19320	A
19380	A
19440	A
19500	A
19560	N
19620	N
19680	N
19740	A
19800	A
19860	A
19920	A
19980	A
20040	A
20100	A
20160	A
20220	A
20280	A
20340	A
20400	A
20460	A
20520	A
20580	A
20640	A
20700	A
20760	A
20820	A
20880	A
20940	A
21000	A
21060	A
21120	A
21180	A
21240	A
21300	A
21360	A
21420	A
21480	A
21540	A
21600	A
21660	A
21720	A
21780	A
21840	A
21900	A
21960	A
22020	A
22080	A
22140	A
22200	A
22260	A
22320	A
22380	A
22440	A
22500	A
22560	A
22620	A
22680	A
22740	A
22800	A
22860	A
22920	A
22980	A
23040	A
23100	A
23160	A
23220	A
23280	A
23340	N
23400	N
23460	N
23520	A
23580	A
23640	A
23700	A
23760	A
23820	A
23880	A
23940	A
24000	A
24060	A
24120	A
24180	A
24240	A
24300	A
24360	A
24420	A
24480	A
24540	A
24600	A
24660	A
24720	A
24780	A
24840	A
24900	A
24960	A
25020	A
25080	A
25140	A
25200	A
25260	A
25320	A
25380	A
25440	A
25500	A
25560	A
25620	A
25680	A
25740	A
25800	A
25860	A
25920	N
25980	N
26040	N
26100	N
26160	A
26220	A
26280	A
26340	A
26400	A
26460	A
26520	A
26580	A
26640	A
26700	A
26760	A
26820	A
26880	A
26940	A
27000	A
27060	A
27120	A
27180	A
27240	A
27300	A
27360	A
27420	A
27480	A
27540	A
27600	A
27660	A
27720	A
27780	A
27840	A
27900	A
27960	A
28020	A
28080	A
28140	A
28200	A
28260	A
28320	A
28380	A
28440	A
28500	A
28560	A
28620	A
28680	A
28740	A
28800	A
28860	A
28920	A
28980	A
29040	A
29100	A
29160	A
29220	A
29280	A
29340	A
29400	A
29460	A
29520	A
29580	A
29640	A
29700	A
29760	A
29820	A
29880	A
29940	A
30000	N
30060	N
30120	N
30180	N
30240	N
30300	N
30360	N
30420	N
30480	N
30540	A
30600	A
30660	A
30720	A
30780	A
30840	A
30900	A
30960	A
31020	A
31080	A
31140	A
31200	A
31260	A
31320	A
31380	A
31440	A
31500	A
31560	A
31620	A
